City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Constantine,36.37,6.61,73.4,43,16,2.24,DZ,1597900477
Itaú de Minas,-20.74,-46.75,67.03,58,0,4.27,BR,1597900476
Marabu,4.41,114.01,84.2,83,40,10.29,MY,1597900723
Aklavik,68.22,-135.01,57.2,76,40,4.7,CA,1597900723
Kieta,-6.22,155.63,82.22,74,9,4.36,PG,1597900724
Thunder Bay,48.4,-89.32,60.8,100,75,3.83,CA,1597900519
Columbia,34.0,-81.03,71.6,94,20,5.82,US,1597900724
Temba,-25.38,28.26,42.01,64,0,4.7,ZA,1597900724
Barguzin,53.62,109.62,74.53,48,100,0.65,RU,1597900725
Pisco,-13.7,-76.22,60.8,82,16,4.7,PE,1597900594
Hope,33.67,-93.59,72.0,72,1,5.59,US,1597900464
Novikovo,51.15,37.89,62.53,82,84,9.75,RU,1597900726
Jūybār,36.64,52.91,75.2,83,0,6.93,IR,1597900726
Sitges,41.24,1.81,75.0,85,0,2.51,ES,1597900727
Abhā,18.22,42.51,69.8,55,54,8.48,SA,1597900529
Svetlaya,46.54,138.33,70.66,48,46,7.7,RU,1597900727
Calabazar de Sagua,22.64,-79.9,78.8,88,20,1.12,CU,1597900728
Podor,16.65,-14.96,80.96,70,100,10.36,MR,1597900728
Beringovskiy,63.05,179.32,59.04,52,80,6.51,RU,1597900728
Souillac,-20.52,57.52,75.2,64,40,11.41,MU,1597900728
Ballina,-28.87,153.57,71.6,26,0,20.8,AU,1597900619
Greenwood,34.17,-82.12,70.0,94,75,3.36,US,1597900729
Touros,-5.2,-35.46,69.8,94,20,4.7,BR,1597900729
Dunedin,-45.87,170.5,51.01,83,80,4.38,NZ,1597900730
Oranjestad,12.52,-70.03,84.2,74,40,19.46,AW,1597900730
Tondano,1.3,124.91,89.6,59,20,4.7,ID,1597900730
Fountain,38.68,-104.7,69.8,88,75,4.7,US,1597900568
Tilichiki,60.47,166.1,51.48,81,100,18.41,RU,1597900731
Moree,-29.47,149.85,64.4,34,40,24.16,AU,1597900731
Snezhnogorsk,69.19,33.25,53.6,87,40,6.71,RU,1597900732
Port Hedland,-20.32,118.57,84.2,16,3,13.87,AU,1597900732
Necochea,-38.55,-58.74,37.0,93,65,1.99,AR,1597900732
Lincoln,40.8,-96.67,68.0,72,1,6.93,US,1597900571
Sorong,-0.88,131.25,82.63,76,73,7.99,ID,1597900733
Port Macquarie,-31.43,152.92,68.0,38,0,4.0,AU,1597900733
Dudinka,69.41,86.18,69.8,35,99,13.42,RU,1597900733
Litovko,49.24,135.17,72.45,57,0,9.22,RU,1597900734
Ranau,5.95,116.66,87.8,74,20,5.82,MY,1597900734
Ostrovnoy,68.05,39.51,54.5,63,80,13.67,RU,1597900734
Vao,-22.67,167.48,71.46,78,0,14.52,NC,1597900735
Ous,60.91,61.52,53.56,96,100,5.88,RU,1597900735
Burnie,-41.07,145.92,51.01,63,60,15.01,AU,1597900735
Ōdachō-ōda,35.18,132.5,93.2,52,40,12.75,JP,1597900735
Miyako,39.64,141.95,85.98,54,0,2.01,JP,1597900736
Kralendijk,12.15,-68.27,82.4,83,27,17.22,BQ,1597900634
Koslan,63.46,48.9,51.39,88,100,10.16,RU,1597900736
Arrondissement de Saumur,47.33,-0.25,69.01,88,53,3.36,FR,1597900737
Ust-Tsilma,65.44,52.15,56.53,87,100,7.74,RU,1597900737
Esim,4.87,-2.24,74.71,88,64,8.77,GH,1597900737
Saint George,37.1,-113.58,98.6,13,1,3.4,US,1597900737
Pringsewu,-5.36,104.97,84.33,71,77,5.99,ID,1597900738
Faanui,-16.48,-151.75,77.79,79,27,19.8,PF,1597900739
Mount Gambier,-37.83,140.77,55.4,66,75,23.04,AU,1597900739
Sørland,67.67,12.69,42.8,93,75,2.24,NO,1597900739
Huarmey,-10.07,-78.15,60.03,85,62,8.16,PE,1597900740
Pimentel,-6.84,-79.93,60.12,89,93,13.11,PE,1597900740
Madiun,-7.63,111.52,92.21,41,77,3.58,ID,1597900740
Margherita,27.28,95.68,93.2,56,40,5.82,IN,1597900740
Cayenne,4.93,-52.33,75.2,100,75,10.42,GF,1597900741
Buchanan,5.88,-10.05,75.33,88,100,9.78,LR,1597900741
Bredasdorp,-34.53,20.04,51.8,81,81,5.82,ZA,1597900742
Camacha,33.08,-16.33,71.6,88,40,4.7,PT,1597900742
kimparana,12.83,-4.92,73.51,90,81,7.43,ML,1597900742
Pedasí,7.53,-80.03,77.95,86,100,3.87,PA,1597900743
Acaraú,-2.89,-40.12,74.59,87,61,11.3,BR,1597900743
Mazagão,-0.12,-51.29,82.4,88,20,6.93,BR,1597900743
Talcahuano,-36.72,-73.12,42.8,75,0,8.05,CL,1597900743
Coahuayana Viejo,18.73,-103.68,76.8,85,100,2.95,MX,1597900743
Tahe,52.33,124.73,73.74,35,13,8.05,CN,1597900744
Bubaque,11.28,-15.83,81.03,81,90,5.99,GW,1597900685
Alofi,-19.06,-169.92,80.6,83,3,9.17,NU,1597900744
Sambava,-14.27,50.17,70.56,84,93,9.28,MG,1597900745
Yulara,-25.24,130.99,69.8,22,0,5.82,AU,1597900745
Richards Bay,-28.78,32.04,55.99,68,27,4.03,ZA,1597900587
Palana,59.12,159.97,51.04,97,100,6.31,RU,1597900747
San Rafael,-34.62,-68.33,36.72,67,0,7.34,AR,1597900747
Antofagasta,-23.65,-70.4,55.4,71,75,4.7,CL,1597900747
Forsytheganj,52.63,29.73,60.6,90,98,9.31,BY,1597900748
San Miguel de Tucumán,-26.82,-65.22,46.4,39,88,5.82,AR,1597900512
Grand Gaube,-20.01,57.66,75.0,61,13,8.01,MU,1597900483
Ramnagar,29.4,79.12,86.0,74,75,6.93,IN,1597900748
Portland,45.52,-122.68,73.99,60,1,6.93,US,1597900619
Fort-Shevchenko,44.51,50.26,78.73,42,0,11.79,KZ,1597900749
Makarov,48.63,142.8,67.32,46,2,10.89,RU,1597900749
Khandyga,62.67,135.6,63.52,39,100,10.89,RU,1597900750
San Patricio,19.22,-104.7,78.28,84,100,4.54,MX,1597900750
Arica,-18.48,-70.3,57.42,79,82,0.96,CL,1597900750
Anadyr,64.75,177.48,60.8,51,80,17.9,RU,1597900751
Trat,12.5,102.5,86.0,70,75,1.12,TH,1597900751
Adré,13.47,22.2,71.74,89,100,3.6,TD,1597900751
Øksfjord,70.24,22.35,51.8,76,90,4.7,NO,1597900752
Cam Ranh,11.92,109.16,87.8,66,40,3.36,VN,1597900752
Hofn,64.25,-15.21,46.31,69,76,13.38,IS,1597900753
Oodweyne,9.41,45.06,73.36,62,37,20.38,SO,1597900753
Rosetta,31.4,30.42,78.8,69,0,6.93,EG,1597900754
Nālūt,30.33,10.85,81.77,30,0,10.92,LY,1597900754
Husavik,66.04,-17.34,32.0,72,20,2.24,IS,1597900754
Yerbogachën,61.28,108.01,73.74,33,50,10.38,RU,1597900755
Bud,39.45,-86.18,62.01,96,0,5.48,US,1597900755
Airai,-8.93,125.41,78.96,32,0,3.85,TL,1597900755
Villa Carlos Paz,-31.42,-64.5,37.99,58,0,8.05,AR,1597900756
Olafsvik,64.89,-23.71,47.73,74,8,8.12,IS,1597900756
Nemuro,43.32,145.57,73.4,83,75,3.36,JP,1597900756
Verkhoyansk,67.54,133.38,49.66,49,76,12.15,RU,1597900757
Hobyo,5.35,48.53,79.25,75,82,17.34,SO,1597900757
Fortuna,40.6,-124.16,60.01,91,4,3.51,US,1597900757
Chatrā,24.22,84.87,84.2,79,75,10.29,IN,1597900758
Nuuk,64.18,-51.72,46.4,75,0,1.54,GL,1597900758
Bella Vista,36.43,-94.23,71.6,60,1,8.05,US,1597900758
Kuching,1.55,110.33,87.8,74,40,5.82,MY,1597900758
Zhanakorgan,43.91,67.25,81.19,20,0,5.55,KZ,1597900759
San Quintín,30.48,-115.95,74.84,76,0,8.93,MX,1597900759
Maracaibo,10.63,-71.64,81.7,81,100,5.08,VE,1597900759
Rawson,-43.3,-65.1,42.71,61,1,10.98,AR,1597900725
San Nicolas,18.17,120.6,82.4,88,75,3.36,PH,1597900760
Norman Wells,65.28,-126.83,55.4,66,20,5.82,CA,1597900760
Kamenka,51.32,42.77,64.0,61,62,1.99,RU,1597900761
Mitsamiouli,-11.38,43.28,78.8,74,20,9.17,KM,1597900761
Bien Hoa,10.95,106.82,87.8,74,75,8.05,VN,1597900632
Manavālakurichi,8.13,77.3,86.0,74,75,8.05,IN,1597900762
Carballo,43.21,-8.69,60.8,87,20,9.17,ES,1597900762
Clearwater,27.97,-82.8,81.0,83,1,5.41,US,1597900762
Berdigestyakh,62.1,126.7,61.77,45,48,7.92,RU,1597900762
Biskupiec,53.86,20.96,60.8,100,90,5.82,PL,1597900763
Ulladulla,-35.35,150.47,59.0,41,0,31.09,AU,1597900763
Saint-François,46.42,3.91,60.01,93,0,2.24,FR,1597900763
Lander,42.83,-108.73,71.6,40,1,3.36,US,1597900765
Ocotal,13.63,-86.48,70.79,88,100,1.81,NI,1597900765
Cap Malheureux,-19.98,57.61,75.0,59,15,8.99,MU,1597900765
Kajaani,64.23,27.73,60.8,87,33,9.17,FI,1597900765
Nova Olinda do Norte,-3.89,-59.09,78.75,58,2,2.26,BR,1597900766
Kaniama,-7.57,24.18,68.07,62,39,1.07,CD,1597900766
Te Anau,-45.42,167.72,49.86,80,100,1.92,NZ,1597900766
Yarensk,62.17,49.09,51.4,84,100,10.58,RU,1597900767
Faya,18.39,42.45,69.8,55,65,7.81,SA,1597900767
Presidencia Roque Sáenz Peña,-26.79,-60.44,45.81,54,40,8.93,AR,1597900767
Mildura,-34.2,142.15,59.0,51,75,17.22,AU,1597900768
Turbat,26.0,63.04,87.24,61,87,4.94,PK,1597900768
Magistral'nyy,56.17,107.45,82.04,34,91,5.12,RU,1597900768
Yambio,4.57,28.4,68.47,96,68,1.23,SS,1597900769
The Pas,53.83,-101.25,62.6,93,1,4.59,CA,1597900769
Winnemucca,40.97,-117.74,80.6,21,90,11.41,US,1597900769
Chicama,-7.84,-79.15,59.74,83,98,5.14,PE,1597900770
Alyangula,-13.85,136.42,84.2,62,2,6.93,AU,1597900770
San Juan,-31.54,-68.54,36.66,68,0,3.0,AR,1597900712
Gardelegen,52.53,11.4,64.99,76,100,6.42,DE,1597900771
San Policarpo,12.18,125.51,82.92,79,91,4.88,PH,1597900771
Palauig,15.44,119.9,83.25,71,90,4.79,PH,1597900771
Basco,20.45,121.97,84.11,77,100,11.23,PH,1597900772
Atar,20.52,-13.05,86.4,52,1,12.17,MR,1597900772
Kukshi,22.2,74.75,80.89,82,100,10.67,IN,1597900772
Aykhal,66.0,111.5,53.6,58,28,4.47,RU,1597900773
Gobabis,-22.45,18.97,31.51,71,0,7.38,NA,1597900773
Isabela,6.71,121.97,82.4,78,75,1.12,PH,1597900773
Romitan,39.93,64.38,78.8,29,0,6.93,UZ,1597900773
Garbolovo,60.34,30.5,57.99,74,0,2.86,RU,1597900774
Graaff-Reinet,-32.25,24.53,39.78,64,0,3.36,ZA,1597900774
Great Bend,38.36,-98.76,72.0,72,1,4.7,US,1597900526
Huicheng,23.04,116.29,91.4,66,40,2.24,CN,1597900775
Brejo da Madre de Deus,-8.15,-36.37,63.01,95,92,5.7,BR,1597900775
Pemba,-12.97,40.52,73.4,94,75,5.82,MZ,1597900776
Rome,43.21,-75.46,57.2,82,90,1.52,US,1597900776
Banda Aceh,5.56,95.32,87.3,64,85,4.94,ID,1597900776
Yar-Sale,66.83,70.83,53.55,89,100,11.7,RU,1597900776
Río Gallegos,-51.62,-69.22,44.6,70,37,23.04,AR,1597900777
Caravelas,-17.71,-39.25,70.97,87,1,6.67,BR,1597900777
Samarai,-10.62,150.67,77.54,72,0,8.12,PG,1597900778
Inyonga,-6.72,32.07,64.2,59,98,4.29,TZ,1597900778
Odesskoye,54.21,72.97,57.67,55,81,22.64,RU,1597900779
Hurricane,37.18,-113.29,98.6,13,1,2.8,US,1597900779
São João da Barra,-21.64,-41.05,70.7,89,0,3.87,BR,1597900779
Dingle,11.0,122.67,81.5,84,100,7.9,PH,1597900780
Bollnäs,61.35,16.39,59.0,98,36,3.18,SE,1597900780
Mana,5.66,-53.78,77.54,85,67,8.63,GF,1597900780
Rieti,42.41,12.86,66.0,71,0,8.05,IT,1597900781
Atasū,48.68,71.64,65.64,32,94,11.43,KZ,1597900781
Kampot,10.62,104.18,86.0,70,40,13.87,KH,1597900782
Roald,62.58,6.13,57.99,93,80,5.82,NO,1597900782
Bāntva,21.49,70.07,82.4,88,75,9.17,IN,1597900782
Lagoa,39.05,-27.98,69.21,74,66,19.66,PT,1597900783
Três Lagoas,-20.75,-51.68,62.58,67,9,5.99,BR,1597900783
Dabola,10.75,-11.12,71.06,93,100,2.59,GN,1597900783
Cabrobó,-8.51,-39.31,68.95,81,34,15.39,BR,1597900783
Thinadhoo,0.53,72.93,83.73,62,81,1.79,MV,1597900784
Spring Hill,28.48,-82.53,75.2,94,1,5.82,US,1597900728
Puerto Baquerizo Moreno,-0.9,-89.6,66.0,86,48,13.47,EC,1597900784
Taltal,-25.4,-70.48,50.58,73,0,2.24,CL,1597900785
Houma,29.6,-90.72,77.0,88,1,3.33,US,1597900785
Noyabrsk,63.2,75.45,62.85,70,23,12.19,RU,1597900785
Pangnirtung,66.15,-65.71,51.08,45,31,1.03,CA,1597900786
Arcata,40.87,-124.08,59.0,93,1,3.36,US,1597900786
Puerto Colombia,10.99,-74.95,78.8,94,40,3.36,CO,1597900786
Nizwá,22.93,57.53,98.38,28,39,3.96,OM,1597900787
Road Town,18.42,-64.62,82.99,82,1,11.99,VG,1597900713
Saurimo,-9.66,20.39,59.31,33,0,4.88,AO,1597900787
Labuhan,-6.88,112.21,87.4,56,84,10.04,ID,1597900787
Gamba,-2.65,10.0,71.87,88,100,8.7,GA,1597900788
Nsanje,-16.92,35.26,74.61,69,28,8.57,MW,1597900788
Aitape,-3.14,142.35,86.63,62,14,9.31,PG,1597900789
Finnsnes,69.23,17.98,48.0,100,75,2.24,NO,1597900789
Viedma,-40.81,-63.0,34.48,77,0,8.84,AR,1597900789
Kudahuvadhoo,2.67,72.89,82.63,62,96,1.68,MV,1597900789
Plettenberg Bay,-34.05,23.37,53.15,57,50,7.2,ZA,1597900790
Durango,24.83,-104.83,64.4,69,100,2.24,MX,1597900545
Manado,1.49,124.85,89.6,59,20,4.7,ID,1597900604
Nouadhibou,20.93,-17.03,69.8,88,2,13.87,MR,1597900790
Whitefish,48.41,-114.34,71.01,60,75,4.7,US,1597900791
Dourbali,11.81,15.86,73.96,87,100,14.36,TD,1597900791
Killin,33.61,-91.74,69.8,83,1,4.68,US,1597900791
Palu,-0.89,119.87,90.9,48,29,3.8,ID,1597900791
Cherskiy,68.75,161.3,45.41,58,60,9.57,RU,1597900792
Muhororo,0.94,30.76,64.69,94,99,1.21,UG,1597900792
Kirillov,59.86,38.38,50.0,100,0,1.72,RU,1597900792
Morón,-34.65,-58.62,42.01,74,0,5.88,AR,1597900792
Catuday,16.29,119.81,81.05,79,96,5.01,PH,1597900793
Tshikapa,-6.42,20.8,73.22,79,94,2.24,CD,1597900793
Lampazos de Naranjo,27.02,-100.52,84.58,46,2,9.13,MX,1597900793
Muros,42.78,-9.06,59.0,94,70,6.71,ES,1597900794
Talnakh,69.49,88.4,69.8,35,98,13.42,RU,1597900794
Srednekolymsk,67.45,153.68,46.08,56,95,9.06,RU,1597900794
Kutum,14.2,24.67,72.0,78,100,10.18,SD,1597900795
Puerto Ayacucho,5.66,-67.62,76.12,93,100,3.36,VE,1597900795
Saint-Louis,16.33,-15.0,79.88,73,100,9.42,SN,1597900795
Poum,-20.23,164.02,73.6,71,0,8.08,NC,1597900796
Vilhena,-12.74,-60.15,73.67,38,54,0.94,BR,1597900796
Blythe,33.61,-114.6,105.8,24,1,6.93,US,1597900719
Kattivākkam,13.22,80.32,91.4,52,75,11.41,IN,1597900778
Mackay,-21.15,149.2,78.8,44,0,12.75,AU,1597900755
Porto-Novo,6.5,2.6,75.2,94,40,10.29,BJ,1597900797
Kodīnar,20.79,70.7,81.05,86,100,16.08,IN,1597900797
Boende,-0.22,20.87,73.53,93,97,1.57,CD,1597900797
Blahodatne,50.66,24.25,62.6,93,80,7.38,UA,1597900798
Ilulissat,69.22,-51.1,48.2,72,0,4.7,GL,1597900575
Krasnyy Chikoy,50.36,108.75,77.47,41,73,5.46,RU,1597900798
Wajima,37.4,136.9,89.6,62,20,10.29,JP,1597900799
Tālīkota,16.48,76.32,80.44,70,100,20.13,IN,1597900799
Urucará,-2.54,-57.76,78.76,59,87,2.59,BR,1597900799
Santa Helena de Goiás,-17.81,-50.6,70.43,60,0,9.08,BR,1597900799
Vostok,46.49,135.88,64.47,48,64,8.57,RU,1597900800
Luanda,-8.84,13.23,71.6,88,40,4.7,AO,1597900799
Loandjili,-4.76,11.86,72.72,88,100,9.06,CG,1597900800
Biloela,-24.42,150.5,74.5,20,2,13.35,AU,1597900801
Margate,51.38,1.39,66.99,80,97,4.0,GB,1597900801
Muisne,0.6,-80.03,72.36,85,100,8.97,EC,1597900801
Bukama,-9.2,25.85,68.34,34,11,1.5,CD,1597900801
Arrondissement de Rennes,48.17,-1.67,64.4,93,90,3.36,FR,1597900802
Lumphat,13.49,106.98,76.35,94,100,2.15,KH,1597900802
Dovers,12.88,-61.18,82.4,82,30,16.13,VC,1597900803
Homer,59.64,-151.55,57.2,87,40,13.87,US,1597900803
Iberia,29.95,-91.75,79.0,78,1,8.05,US,1597900804
Ryōtsu-minato,38.08,138.43,87.8,62,0,5.82,JP,1597900804
Bowen,-20.02,148.23,89.6,22,0,11.41,AU,1597900804
Mikhaylovka,50.06,43.24,66.99,54,74,5.99,RU,1597900805
Mitú,1.2,-70.17,74.14,90,8,2.17,CO,1597900700
Mazyr,52.05,29.25,62.28,78,97,4.61,BY,1597900805
Kirando,-7.42,30.6,74.57,49,71,3.18,TZ,1597900805
Otacílio Costa,-27.48,-50.12,52.32,99,100,1.05,BR,1597900806
Châteauneuf-les-Martigues,43.38,5.17,73.99,68,0,5.82,FR,1597900806
Inongo,-1.95,18.27,68.72,88,49,1.92,CD,1597900806
Pogranichnyy,44.41,131.38,72.25,40,88,7.2,RU,1597900807
Chumikan,54.72,135.31,67.91,48,50,15.03,RU,1597900807
Oruzgan,32.83,66.0,79.48,16,0,3.87,AF,1597900807
Phan Thiet,10.93,108.1,83.7,70,100,7.7,VN,1597900807
Pahrump,36.21,-115.98,91.99,22,68,7.87,US,1597900808
Sinnamary,5.38,-52.95,78.04,86,38,11.83,GF,1597900808
Mokhsogollokh,61.47,128.92,56.89,60,93,5.68,RU,1597900808
Shimoda,34.67,138.95,89.6,66,20,13.87,JP,1597900808
La Primavera,5.49,-70.41,77.76,86,93,3.38,CO,1597900809
Livingston,55.9,-3.52,60.8,72,20,14.99,GB,1597900809
Salalah,17.02,54.09,77.0,100,90,3.36,OM,1597900809
Camocim,-2.9,-40.84,73.06,88,81,10.29,BR,1597900809
Yarim,14.3,44.38,63.41,65,63,3.27,YE,1597900810
Pirovskoye,57.63,92.27,69.55,57,1,10.6,RU,1597900810
Jerusalen,-2.69,-78.93,55.4,100,96,4.7,EC,1597900810
Noumea,-22.28,166.46,78.8,61,3,8.05,NC,1597900811
Alta Floresta,-9.88,-56.09,73.81,34,0,1.66,BR,1597900811
Avera,33.19,-82.53,73.4,85,1,3.36,US,1597900811
Vaitape,-16.52,-151.75,78.57,78,29,20.04,PF,1597900811
Ōhara,35.25,140.38,97.0,59,20,11.41,JP,1597900812
Kragujevac,44.02,20.92,60.8,100,40,5.14,RS,1597900812
Ketchikan,55.34,-131.65,57.2,100,90,5.82,US,1597900812
Nioro,13.35,-15.75,76.6,94,97,2.55,GM,1597900813
Nanchong,30.8,106.08,81.57,64,81,3.06,CN,1597900813
Fairbanks,64.84,-147.72,68.0,56,90,3.36,US,1597900533
Abu Samrah,35.3,37.18,75.88,55,0,10.56,SY,1597900813
Shiyan,32.65,110.78,70.39,91,100,5.03,CN,1597900814
Porto Belo,-27.16,-48.55,59.0,100,100,13.15,BR,1597900814
Lypova Dolyna,50.56,33.8,70.75,56,59,7.94,UA,1597900814
Concepción del Oro,24.63,-101.42,63.75,64,100,6.71,MX,1597900815
Saint-Joseph,-21.37,55.62,75.2,53,90,3.36,RE,1597900815
Chui,-33.7,-53.46,40.66,75,31,9.82,UY,1597900815
Pangody,65.85,74.49,64.9,66,29,9.06,RU,1597900816
Terrace,54.52,-128.6,55.4,93,90,18.34,CA,1597900816
Tual,-5.67,132.75,79.0,82,3,14.5,ID,1597900816
Eyl,7.98,49.82,82.96,62,60,22.08,SO,1597900816
